name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,"With high ceilings and ample natural light, historic charm and plenty of space."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,This industrial-meets-chic property has been setting the scene for marital events.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,"Overlooking Piedmont Park, our venues celebrate what Atlanta is all about."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"Led by owner Chef Vincent Marra, this talented team creates your dream wedding day."
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Provides 3 levels of event space with authentic Southern Italian cuisine.
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,A deluxe wedding venue with an elegant ballroom and state-of-the-art facilities.
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,A unique wedding venue built in 1910 with historic charm.
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,"Outstanding staff creates a full-service, memorable experience."
The Kimpton Shane,Atlanta,$$$,51-100 Guests,0,0,A boutique hotel with stunning architecture and stylish furnishings.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,Surrounded by 83 acres of landscaped gardens with captivating views.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,A restaurant specializing in Italian farm-to-table cuisine.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,4.8,41,An enchanting and elegant restaurant in Buckhead.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,Elegant venue with unique surroundings and convenient location.
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,A Victorian-era home with historic charm for weddings.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,Elegant courtroom with white marble and 20-foot ceilings.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,Located in the arts and music district with prime location.
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,A historic mansion with Victorian-era architecture.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,A unique venue with a century-long legacy.
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,A historic wedding venue designed by Gottfried L. Norrman.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,An urban retreat with modern comfort and luxury.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,Combines classic charm with modern luxury.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,A converted warehouse with cathedral ceilings.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,Awarded as one of the best hotels in the South.
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,1,1,A boutique hotel in the heart of Buckhead.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Luxury venue with Southern charm in a prestigious neighborhood.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$,300+ Guests,5,6,Perfect location across from Centennial Olympic Park.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,A blend of industrial modernity and refined elegance.
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,41,"Features hardwood floors, patio, and garden area."
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0,0,Elegant venue combining luxury and convenience.
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5,2,A rustic event space offering countryside views for weddings.
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,A luxe ceremony and reception venue with lakeside views.
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5,162,A newly renovated venue with indoor and outdoor spaces.
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5,99,A modern venue with exposed brick walls and separate event spaces.
The Atrium,"Norcross, GA",$$,101-150 Guests,4.9,150,A contemporary venue with a glass mezzanine overlooking gardens.
Naylor Hall,"Roswell, GA",$$,201-250 Guests,5,173,A historic venue with a modern makeover for weddings.
Stanley House Mansion,"Marietta, GA",$$,101-150 Guests,5,48,A historic mansion offering classic Southern charm.
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9,272,An idyllic three-story home in a historic area.
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3,49,A versatile event venue for various occasions.
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8,205,A restored historic mansion with a covered pavilion.
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9,215,A serene venue with a manor house and green grounds.
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7,23,Flexible event spaces for intimate or large celebrations.
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9,199,A waterfront venue offering discounts for weddings.
Olde Towne Special Events,"Atlanta, GA",$$,251-300 Guests,5,66,A full-service event facility with a stylish backdrop.
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9,89,A historic venue with a glass chapel for weddings.
Roswell Mill Club,"Roswell, GA",$$,151-200 Guests,4.8,41,A historic mill turned event venue for weddings.
The 173 Carlyle House,"Norcross, GA",$$,300+ Guests,4.8,109,A turn-of-the-century mansion with manicured grounds.
Brumby Hall & Gardens,"Marietta, GA",$$,151-200 Guests,4,2,A historic property with meticulously kept gardens.
The Foxglove,"Marietta, GA",$$,300+ Guests,5,3,A historic venue in the heart of the district.
Huntcliff River Club,"Atlanta, GA",$$,101-150 Guests,4.9,30,A charming venue surrounded by river oaks.
